Provinsi,Kode_Kab,Kabupaten_Kota,Bulan,Luas_Panen
NUSA TENGGARA BARAT,5201.0,LOMBOK BARAT,Januari,789.93
NUSA TENGGARA BARAT,5202.0,LOMBOK TENGAH,Januari,774.91
NUSA TENGGARA BARAT,5203.0,LOMBOK TIMUR,Januari,1162.03
NUSA TENGGARA BARAT,5204.0,SUMBAWA,Januari,1115.2
NUSA TENGGARA BARAT,5205.0,DOMPU,Januari,490.82
NUSA TENGGARA BARAT,5206.0,BIMA,Januari,688.36
NUSA TENGGARA BARAT,5207.0,SUMBAWA BARAT,Januari,0.0
NUSA TENGGARA BARAT,5208.0,LOMBOK UTARA,Januari,788.08
NUSA TENGGARA BARAT,5271.0,MATARAM,Januari,161.6
NUSA TENGGARA BARAT,5272.0,BIMA,Januari,0.0
NUSA TENGGARA TIMUR,5301.0,SUMBA BARAT,Januari,171.26999999999998
NUSA TENGGARA TIMUR,5302.0,SUMBA TIMUR,Januari,131.53
NUSA TENGGARA TIMUR,5303.0,KUPANG,Januari,145.82999999999998
NUSA TENGGARA TIMUR,5304.0,TIMOR TENGAH SELATAN,Januari,170.81
NUSA TENGGARA TIMUR,5305.0,TIMOR TENGAH UTARA,Januari,980.7499999999999
NUSA TENGGARA TIMUR,5306.0,BELU,Januari,0.0
NUSA TENGGARA TIMUR,5307.0,ALOR,Januari,25.700000000000003
NUSA TENGGARA TIMUR,5308.0,LEMBATA,Januari,0.0
NUSA TENGGARA TIMUR,5309.0,FLORES TIMUR,Januari,0.0
NUSA TENGGARA TIMUR,5310.0,SIKKA,Januari,186.71
NUSA TENGGARA TIMUR,5311.0,ENDE,Januari,244.7
NUSA TENGGARA TIMUR,5312.0,NGADA,Januari,496.35
NUSA TENGGARA TIMUR,5313.0,MANGGARAI,Januari,513.01
NUSA TENGGARA TIMUR,5314.0,ROTE NDAO,Januari,0.0
NUSA TENGGARA TIMUR,5315.0,MANGGARAI BARAT,Januari,930.6500000000002
NUSA TENGGARA TIMUR,5316.0,SUMBA TENGAH,Januari,0.0
NUSA TENGGARA TIMUR,5317.0,SUMBA BARAT DAYA,Januari,45.059999999999995
NUSA TENGGARA TIMUR,5318.0,NAGEKEO,Januari,108.02
NUSA TENGGARA TIMUR,5319.0,MANGGARAI TIMUR,Januari,679.8300000000002
NUSA TENGGARA TIMUR,5320.0,SABU RAIJUA,Januari,9.99
NUSA TENGGARA TIMUR,5321.0,MALAKA,Januari,90.99000000000001
NUSA TENGGARA TIMUR,5371.0,KUPANG,Januari,0.0
KALIMANTAN BARAT,6101.0,SAMBAS,Januari,13270.06
KALIMANTAN BARAT,6102.0,BENGKAYANG,Januari,179.45999999999998
KALIMANTAN BARAT,6103.0,LANDAK,Januari,1236.09
KALIMANTAN BARAT,6104.0,MEMPAWAH,Januari,840.6099999999999
KALIMANTAN BARAT,6105.0,SANGGAU,Januari,304.96999999999997
KALIMANTAN BARAT,6106.0,KETAPANG,Januari,1053.74
KALIMANTAN BARAT,6107.0,SINTANG,Januari,220.22
KALIMANTAN BARAT,6108.0,KAPUAS HULU,Januari,976.6800000000001
KALIMANTAN BARAT,6109.0,SEKADAU,Januari,611.51
KALIMANTAN BARAT,6110.0,MELAWI,Januari,360.03
KALIMANTAN BARAT,6111.0,KAYONG UTARA,Januari,162.47
KALIMANTAN BARAT,6112.0,KUBU RAYA,Januari,2877.69
KALIMANTAN BARAT,6171.0,PONTIANAK,Januari,13.05
KALIMANTAN BARAT,6172.0,SINGKAWANG,Januari,106.73
KALIMANTAN TENGAH,6201.0,KOTAWARINGIN BARAT,Januari,0.0
KALIMANTAN TENGAH,6202.0,KOTAWARINGIN TIMUR,Januari,0.0
KALIMANTAN TENGAH,6203.0,KAPUAS,Januari,0.0
KALIMANTAN TENGAH,6204.0,BARITO SELATAN,Januari,0.0
KALIMANTAN TENGAH,6205.0,BARITO UTARA,Januari,0.0
KALIMANTAN TENGAH,6206.0,SUKAMARA,Januari,0.0
KALIMANTAN TENGAH,6207.0,LAMANDAU,Januari,0.0
KALIMANTAN TENGAH,6208.0,SERUYAN,Januari,0.0
KALIMANTAN TENGAH,6209.0,KATINGAN,Januari,0.0
KALIMANTAN TENGAH,6210.0,PULANG PISAU,Januari,84.58
KALIMANTAN TENGAH,6211.0,GUNUNG MAS,Januari,20.92
KALIMANTAN TENGAH,6212.0,BARITO TIMUR,Januari,0.0
KALIMANTAN TENGAH,6213.0,MURUNG RAYA,Januari,0.0
KALIMANTAN TENGAH,6271.0,PALANGKA RAYA,Januari,0.0
KALIMANTAN SELATAN,6301.0,TANAH LAUT,Januari,0.0
